#n_{sat}	#E_{sat}	#K_{sat}	#J_{sym}	#L_{sym}	#m^*/m
0.160988	-16.108074	202.340378	32.783844	51.611073	0.682898
0.157697	-15.818722	299.973267	30.603754	49.701740	0.729062
0.154099	-15.814294	223.393372	29.473101	41.007458	0.715578
0.160386	-16.030560	236.397049	33.188240	50.003254	0.702104
0.150272	-16.093681	271.094116	30.089960	47.050087	0.673017
0.164894	-15.959593	297.956696	29.781979	43.439213	0.683815
0.159141	-16.109076	260.578461	31.736902	56.413319	0.707086
0.166718	-16.199717	275.560364	33.745777	59.325417	0.631548
0.156223	-15.940948	251.399033	32.712715	54.774025	0.706749
0.169243	-16.082563	280.660614	32.748138	60.487473	0.670292
0.157487	-16.084339	287.282043	31.076675	48.057487	0.636070
0.145879	-16.135050	264.848907	32.134315	57.817394	0.682072
0.143512	-15.840199	244.549149	31.020802	45.481792	0.704364
0.151694	-15.992614	261.637146	31.136610	54.410484	0.729034
0.154308	-16.180126	242.680161	29.486160	43.990509	0.648002
0.160399	-15.838151	263.131317	33.953640	68.446823	0.693450
0.144508	-16.065622	269.945465	31.205978	50.281181	0.744292
0.167432	-16.104584	253.406845	32.187668	45.793602	0.680885
0.164615	-16.108904	257.265656	32.693836	59.076283	0.716183
0.158386	-15.852172	291.571472	32.824471	49.241398	0.701229
0.154999	-16.016411	297.871429	29.670391	48.350616	0.705678
0.161793	-15.991761	245.930740	29.890091	42.526382	0.700483
0.169483	-16.188459	270.341553	33.243675	52.433926	0.679661
0.163152	-15.942550	283.260010	31.492180	58.071011	0.616679
0.164245	-15.964915	248.014420	32.121185	45.524918	0.723522
0.141739	-15.992401	293.932678	31.895144	47.972137	0.734359
0.145542	-15.956850	286.197815	31.094765	44.516720	0.685474
0.161461	-16.016491	275.943665	33.838284	67.596336	0.720796
0.158545	-16.012699	246.935989	30.623211	50.009518	0.664884
0.150732	-15.954887	220.325897	28.448999	41.399685	0.664629
0.151692	-15.978250	290.776367	31.529852	49.337601	0.700732
0.147273	-15.971959	232.695740	32.408478	51.892311	0.707785
0.146785	-16.121939	269.542572	32.416508	56.097996	0.747531
0.157769	-16.173555	272.177917	32.671951	52.807545	0.667319
0.158329	-16.176899	265.764587	31.373531	52.139446	0.710894
0.162551	-15.812010	286.183502	33.687340	69.633041	0.713192
0.164763	-15.943440	253.976547	32.827091	56.689793	0.732635
0.169329	-16.046753	286.026917	33.555866	52.063286	0.658441
0.161144	-16.117455	260.572388	33.282261	52.315117	0.683171
0.160360	-16.084375	262.336609	32.452862	58.670834	0.685746
0.164878	-15.819159	238.002853	32.711777	52.430927	0.695808
0.165420	-16.012962	272.459076	30.618324	50.298576	0.711241
0.147251	-15.939049	232.416443	32.426453	49.978851	0.737211
0.149342	-16.153576	292.473785	29.710556	44.516972	0.712378
0.147474	-16.019983	256.074585	32.500671	57.066566	0.718311
