#n_{sat}	#E_{sat}	#K_{sat}	#J_{sym}	#L_{sym}	#m^*/m
0.167841	-16.190861	207.603851	32.821350	57.139618	0.656246
0.154817	-15.919773	203.621933	33.124748	63.907398	0.657373
0.168250	-15.933385	206.877640	33.849827	59.157627	0.710941
0.151488	-16.043741	206.857040	32.891071	61.157406	0.732128
0.146378	-15.962566	226.049805	33.044914	67.085938	0.703420
0.165425	-16.071650	200.597580	33.352970	54.002338	0.666764
0.154542	-15.980876	204.184448	32.574574	58.158108	0.706921
0.156180	-16.079607	213.212891	33.901489	67.569954	0.695430
0.164685	-16.125954	215.848740	33.399818	60.733246	0.664838
0.161567	-16.098866	220.869980	33.381329	60.008781	0.687496
0.156720	-16.045921	222.228027	32.342861	58.471634	0.688959
0.147472	-16.022966	207.965042	33.179478	62.805656	0.715365
0.157315	-16.132545	206.813217	32.353149	57.581421	0.667738
0.149701	-15.841724	207.236526	33.647587	61.079178	0.723842
0.169599	-15.988622	204.118240	33.677876	60.158127	0.687458
0.158970	-16.180809	214.531509	33.516331	62.374115	0.662804
0.167654	-15.951446	208.952408	32.998512	55.854698	0.667042
0.158238	-16.087910	217.302200	33.840549	65.037865	0.697091
0.142344	-16.191107	211.380035	32.215214	59.721672	0.713033
0.152252	-16.136587	223.613815	31.803045	56.442955	0.683600
0.158683	-15.962148	226.134521	33.703850	58.766228	0.710385
0.161952	-16.029886	223.578949	33.800774	62.616871	0.706334
0.156304	-16.109360	201.356171	33.732815	58.755486	0.719881
0.161517	-15.960396	206.443237	32.520397	59.189674	0.673537
0.165718	-15.849381	211.006378	33.526161	60.180836	0.703174
0.162495	-16.186510	211.929871	33.485413	57.859638	0.673366
0.161982	-15.880151	209.499527	32.895390	58.495251	0.680095
0.156996	-16.070162	202.251099	33.805489	64.200836	0.655335
0.147677	-16.146311	226.076401	33.690121	69.452271	0.732402
0.144759	-15.815093	224.526291	32.182682	63.281509	0.729585
0.153388	-15.907742	208.132767	33.560783	63.604591	0.711305
0.154556	-16.095581	220.176941	32.934841	59.199406	0.685032
0.140530	-15.878261	231.044434	32.337376	61.157749	0.721118
0.152346	-16.166826	218.230560	33.007694	59.806927	0.688349
0.149297	-15.830450	204.009506	33.642651	65.155380	0.736800
0.151206	-16.065493	226.051956	33.954666	69.742882	0.711164
0.152380	-16.194046	236.205276	33.770908	61.809010	0.717095
0.145104	-16.034925	200.371475	32.895493	60.539272	0.715571
0.152574	-15.805661	200.828506	32.821758	57.516834	0.710743
0.166202	-16.060097	201.955612	33.594917	59.362202	0.709775
0.168107	-15.856717	213.908936	33.895222	61.625793	0.683421
0.165002	-16.071014	201.406418	32.881737	56.997623	0.688985
0.147987	-16.051447	225.103592	32.629417	61.650040	0.722230
0.153321	-16.129436	206.193237	33.711990	57.368214	0.694925
0.148520	-16.024254	212.252594	32.268131	59.692944	0.703714
0.155130	-15.893826	215.161621	33.549137	62.900040	0.718746
0.149146	-15.957849	231.010345	32.694138	62.732689	0.735709
0.148448	-16.059740	238.631302	32.771587	64.544319	0.741024
0.159859	-16.076675	222.400620	32.723171	55.948006	0.683169
0.156510	-16.107866	203.216431	33.162838	62.130882	0.673430
0.153413	-16.109303	210.875519	33.361095	61.399696	0.718578
0.145745	-15.840862	201.994522	32.755833	63.853069	0.716964
0.154442	-15.961697	204.772919	32.608353	58.634205	0.699925
0.158166	-15.918961	212.426788	33.777298	59.585575	0.707692
0.155533	-15.835423	201.195221	32.094677	54.732105	0.672201
0.149298	-15.825129	202.211578	33.720993	59.199585	0.717010
0.157310	-15.868726	214.242828	33.550388	56.767448	0.669387
0.148559	-15.920874	217.151810	33.288128	68.107681	0.739669
0.159806	-15.817253	215.524033	32.632843	55.881989	0.684087
0.147399	-16.072298	202.333344	33.797192	63.923393	0.712430
0.153645	-16.009485	204.014923	33.465916	61.338142	0.697876
0.146894	-15.818697	232.147995	32.661961	63.782070	0.739979
0.154322	-16.157333	202.035736	33.912247	55.453487	0.669103
0.156104	-15.807432	204.849106	32.350735	58.472878	0.714424
0.151030	-16.076571	221.977234	32.581341	60.168655	0.703616
0.149776	-16.023666	224.800812	33.924992	64.604996	0.712055
0.145502	-15.997066	205.087204	32.231464	59.844933	0.725910
0.169282	-15.962262	216.281067	33.181236	58.258781	0.670399
0.156675	-15.818423	200.015137	33.726791	59.492847	0.716619
0.148796	-16.013393	217.265503	33.607170	69.283447	0.701427
0.162039	-15.878778	218.592087	33.688969	62.738136	0.684369
0.150078	-15.894315	207.900421	33.826691	59.707672	0.721803
0.157864	-16.119984	212.002640	32.758533	54.909748	0.662641
0.145563	-15.853671	224.056854	32.392181	64.803215	0.708761
0.164235	-16.108931	215.773148	32.598740	54.796154	0.684858
0.145929	-16.183355	236.538864	32.911976	62.832695	0.741072
0.158679	-16.049456	206.166046	32.935173	59.308605	0.706665
0.169935	-16.121254	226.593277	33.407280	58.083679	0.690802
0.157025	-16.088886	221.366684	33.029480	63.036320	0.687724
0.147266	-15.873500	205.335861	33.428169	64.799866	0.720185
0.151009	-15.847729	211.566895	33.751587	65.429436	0.715153
0.154268	-16.190916	214.911636	33.945576	65.492203	0.693860
0.160043	-16.137934	205.103653	33.928852	65.113029	0.669168
0.160840	-15.808606	216.579468	32.721237	60.498749	0.676983
